Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age	
"576,""A Nugroho"",""Rekayasa perangkat lunak berorientasi objek dengan metode USDP"",2010,"""",""books.google.com"",""https://books.google.com/books?hl=en&lr=&id=CB0IKsa9cNEC&oi=fnd&pg=PR5&dq=%22rekayasa+perangkat+lunak%22&ots=DUZlQP5dSL&sig=TOrgMK6eb5WNbQWbG3QYxPpK-0E"",""https://scholar.google.com/scholar?cites=5826717029174578381&as_sdt=2005&sciodt=0,5&hl=en"",1,""2019-11-11"",""BOOK"","""","""","""",,,,,576,64.00,576,1,9"	
"739,""J Simarmata"",""Rekayasa web"",2010,"""",""books.google.com"",""https://books.google.com/books?hl=en&lr=&id=J8JpLoPUHGAC&oi=fnd&pg=PR3&dq=%22rekayasa+perangkat+lunak%22&ots=dQqi7TSyW_&sig=GFlwZeYOp0qRVyTUgkGWStkNDwc"",""https://scholar.google.com/scholar?cites=8333516300639736690&as_sdt=2005&sciodt=0,5&hl=en"",2,""2019-11-11"",""BOOK"","""","""","""",,,,,739,82.11,739,1,9"	
"85,""S Janner"",""Rekayasa Perangkat Lunak"",2010,""Yogyakarta: Penerbit Andi"","""","""",""https://scholar.google.com/scholar?cites=8272038465165304453&as_sdt=2005&sciodt=0,5&hl=en"",3,""2019-11-11"",""CITATION"","""","""","""",,,,,85,9.44,85,1,9"	
"37,""N Adi"",""Rekayasa perangkat lunak menggunakan UML dan Java"",2010,""Penerbit Andi"","""","""",""https://scholar.google.com/scholar?cites=5881039468624681356&as_sdt=2005&sciodt=0,5&hl=en"",4,""2019-11-11"",""CITATION"","""","""","""",,,,,37,4.11,37,1,9"	
"33,""PDRS Pressman, S Roger"",""Pendekatan Praktisi Rekayasa Perangkat Lunak"",2010,""Edisi"","""","""",""https://scholar.google.com/scholar?cites=8872725491417082197&as_sdt=2005&sciodt=0,5&hl=en"",5,""2019-11-11"",""CITATION"","""","""","""",,,,,33,3.67,17,2,9"	
"22,""W Setiawan, E Fitrajaya, T Mardiyanti"",""… Model Pengajaran Langsung (Direct Instruction) untuk Meningkatkan Pemahaman Belajar Siswa dalam Pembelajaran Rekayasa Perangkat Lunak (RPL)"",2010,""Jurnal Pendidikan Teknologi Informasi dan …"","""","""",""https://scholar.google.com/scholar?cites=8115544622224807860&as_sdt=2005&sciodt=0,5&hl=en"",6,""2019-11-11"",""CITATION"","""","""","""",,,,,22,2.44,7,3,9"	
"7,""RPL Simarmata"",""Yogyakarta: CV"",2010,""Andi Offset"","""","""",""https://scholar.google.com/scholar?cites=18430910579013336572&as_sdt=2005&sciodt=0,5&hl=en"",7,""2019-11-11"",""CITATION"","""","""","""",,,,,7,0.78,7,1,9"	
"24,""N Adi"",""Rekayasa Perangkat Lunak Berorientasi Objek dengan Metode USDP"",2010,""Yogyakarta: Andi Offset"","""","""",""https://scholar.google.com/scholar?cites=2783187988294001656&as_sdt=2005&sciodt=0,5&hl=en"",8,""2019-11-11"",""CITATION"","""","""","""",,,,,24,2.67,24,1,9"	
"1,""DI Puspitasari"",""Studi Eksplorasi Tentang Pola Kerjasama Praktik Kerja Industri Jurusan Rekayasa Perangkat Lunak SMK Negeri 1 Tengaran Kabupaten Semarang, Provinsi Jawa …"",2010,"""",""lib.unnes.ac.id"",""http://lib.unnes.ac.id/12748/"",""https://scholar.google.com/scholar?cites=10072940694328665268&as_sdt=2005&sciodt=0,5&hl=en"",9,""2019-11-11"","""","""","""","""",,,,,1,0.11,1,1,9"	
