Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
5,"DK Putra, I Santoso, AA Zahra","Identifikasi Keberadaan Kanker pada Citra Mammografi Menggunakan Metode Wavelet HAAR",2011,"","eprints.undip.ac.id","http://eprints.undip.ac.id/25529/","https://scholar.google.com/scholar?cites=6456564596739729730&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-10-19","","","","",,,,,5,0.63,2,3,8
4,"R Hartadi, I Santoso, A Hidayatno","Deteksi Potensi Kanker Payudara pada Mammogram Menggunakan Metode Gray Level Co-Occurrence Matrices",2011,"","eprints.undip.ac.id","http://eprints.undip.ac.id/25566/","https://scholar.google.com/scholar?cites=17676170717344109998&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-10-19","","","","",,,,,4,0.50,1,3,8
10,"K Ganis, I Santoso, RR Isnanto","Klasifikasi Citra Dengan Matriks Ko-Okurensi Aras Keabuan (Gray Level Co-Occurrence Matrix-GLCM) Pada Lima Kelas Biji-Bijian",2011,"","eprints.undip.ac.id","http://eprints.undip.ac.id/25431/","https://scholar.google.com/scholar?cites=14863199386080832168&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-10-19","","","","",,,,,10,1.25,3,3,8
1,"M Rohman, I Anisah","Teknik Kompresi Citra Menggunakan Metode Vektor Kuantisasi Berbasis Fuzzy C-Means",2011,"Surabaya: Jurnal Fakultas Teknologi …","eprints.upnjatim.ac.id","http://eprints.upnjatim.ac.id/4759/1/071-078_Miftahur_Rohman_2_-_ITS.pdf","https://scholar.google.com/scholar?cites=872555862685329377&as_sdt=2005&sciodt=0,5&hl=en",4,"2019-10-19","PDF","","","",,,,,1,0.13,1,2,8
0,"I Soesanti, A Susanto, TS Widodo…","Ekstraksi Ciri dan Identifikasi Citra Otak MRI Berbasis Eigenbrain Image",2011,"Forum Teknik","journal.ugm.ac.id","https://journal.ugm.ac.id/mft/article/view/2328","",5,"2019-10-19","","","","",,,,,0,0.00,0,4,8
0,"JAE Noor, I Normahayu","Penentuan Dose Reference Level (DRL) pada prosedur diagnosis kepala menggunakan CT-scan sebagai upaya proteksi radiasi kepada pasien secara nasional.",2011,"","repository.ub.ac.id","http://repository.ub.ac.id/id/eprint/12031","",6,"2019-10-19","","","","",,,,,0,0.00,0,2,8
0,"D Sunarko","SISTEM PENGENALAN WARGA PADA KAWASAN PERUMAHAN BERBASIS FACE RECOGNITION MENGGUNAKAN EIGENFACE DAN EUCLIDEAN …",,"ideatech.stts.edu","","http://ideatech.stts.edu/proceeding2011/23-000051-01p-INf%20Didik%20Sunarko%20P197-204.pdf","",7,"2019-10-19","PDF","","","",,,,,0,0.00,0,1,
0,"KASNS VORTEKS, BPM GINZBURG-LANDAU","Supardi, M. Si",,"staffnew.uny.ac.id","","http://staffnew.uny.ac.id/upload/132206562/penelitian/KAJIAN+STATIKA+VORTEKS.pdf","",8,"2019-10-19","PDF","","","",,,,,0,0.00,0,2,
0,"JA Bunga, RR Isnanto, A Ajulian","KLASIFIKASI CITRA DENGAN METODE TRANSFORMASI WAVELET PADA LIMA JENIS BIJI-BIJIAN",2011,"","eprints.undip.ac.id","http://eprints.undip.ac.id/25231/","",9,"2019-10-19","","","","",,,,,0,0.00,0,3,8
6,"RS Falasev, A Hidayatno, RR Isnanto","Pengenalan Sidik Jari Manusia Dengan Matriks Kookurensi Aras Keabuan (Gray Level Co-Ocurrence Matrix)",2011,"","eprints.undip.ac.id","http://eprints.undip.ac.id/25259/","https://scholar.google.com/scholar?cites=12286582975521181550&as_sdt=2005&sciodt=0,5&hl=en",10,"2019-10-19","","","","",,,,,6,0.75,2,3,8
0,"F Yuana, K Kusno, A Hidayat","Determining Effective Dose on Computed Tomography Scan (CT SCAN) in Head Scanning",2011,"Natural B","natural.ub.ac.id","http://natural.ub.ac.id/index.php/natural-b/article/view/114","",11,"2019-10-19","","","","",,,,,0,0.00,0,3,8
1,"H Cipta","Implementasi berbagai Algoritma Neural Network dan Wavelet pada Field Programmable Gate Array (FPGA)",2011,"","researchgate.net","https://www.researchgate.net/profile/Wisnu_Jatmiko/publication/305769179_Implementasi_Berbagai_Algoritma_Neural_Network_dan_Wavelet_pada_FPGA/links/57a066cc08aece1c72182777/Implementasi-Berbagai-Algoritma-Neural-Network-dan-Wavelet-pada-FPGA.pdf","https://scholar.google.com/scholar?cites=2556015924172283909&as_sdt=2005&sciodt=0,5&hl=en",12,"2019-10-19","PDF","","","",,,,,1,0.13,1,1,8
0,"HPKAP TINGGI","SIMULASI NUMERIK KONFIGURASI VORTEKS SUPERKONDUKTOR MESOSCOPIC BERLANDASKAN MODEL GINZBURG-LANDAU",,"staff.uny.ac.id","","http://staff.uny.ac.id/sites/default/files/penelitian/Supardi,%20S.Si.,%20M.Si./SIMULASI%20NUMERIK%20KONFIGURASI%20VORTEKS%20PEKERTI%20TAHUN%20KE%202.pdf","",13,"2019-10-19","PDF","","","",,,,,0,0.00,0,1,
0,"RP Adhie, DOA Limba","Pengukuran Performansi Hasil Segmentasi Citra dengan Metoda Level Set Terhadap Variansi Noise",2011,"Maranatha Electrical Engineering …","cls.maranatha.edu","http://cls.maranatha.edu/khusus/ojs/index.php/jurnal-teknik-elektro/article/download/pp.%2097-119/pdf","",14,"2019-10-19","PDF","","","",,,,,0,0.00,0,2,8
3,"A RIANARIS","Simulasi Penentuan Dosis Serapan Pada Brachytherapy Prostat Menggunakan Software MCNP5",2011,"","eprints.uns.ac.id","https://eprints.uns.ac.id/4816/","https://scholar.google.com/scholar?cites=16016820216296221870&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-10-19","","","","",,,,,3,0.38,3,1,8
9,"FT Puri","Analisis algoritma eigenface (pengenalan wajah) pada aplikasi kehadiran pengajaran dosen",2011,"","repository.uinjkt.ac.id","http://repository.uinjkt.ac.id/dspace/handle/123456789/1674","https://scholar.google.com/scholar?cites=1046763445866344464&as_sdt=2005&sciodt=0,5&hl=en",16,"2019-10-19","","","","",,,,,9,1.13,9,1,8
0,"N KHOTIMAH","PENENTUAN DOSIS SERAPAN RADIASI-γ DARI 60 Co PADA RADIOTHERAPY PAYUDARA MENGGUNAKAN SOFTWARE MCNP5",2011,"","eprints.uns.ac.id","https://eprints.uns.ac.id/8480/","",17,"2019-10-19","","","","",,,,,0,0.00,0,1,8
