Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
17,"M Dahria","Pengembangan Sistem Pakar Dalam Membangun Suatu Aplikasi",2011,"Jurnal Saintikom","prpm.trigunadharma.ac.id","https://prpm.trigunadharma.ac.id/public/fileJurnal/hp633-Jurnal-DAR-Sistem%20Pakar.pdf","https://scholar.google.com/scholar?cites=10142504925827578035&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-03-27","PDF","","","",,,,,17,2.13,17,1,8
17,"AS Broto, I Santoso, AA Zahra","Perancangan Dan Implementasi Sistem Pakar Untuk Analisa Penyakit Dalam",2011,"","eprints.undip.ac.id","http://eprints.undip.ac.id/32079/","https://scholar.google.com/scholar?cites=920642211180442687&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-03-27","","","","",,,,,17,2.13,6,3,8
8,"L Latumakulita, CEJC Montolalu","Sistem Pakar Pendiagnosa Penyakit Ginjal",2011,"Jurnal Ilmiah Sains","ejournal.unsrat.ac.id","https://ejournal.unsrat.ac.id/index.php/JIS/article/view/55","https://scholar.google.com/scholar?cites=8579340230110264641&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-03-27","","","","",,,,,8,1.00,4,2,8
9,"PA Putri, H Mustafidah","Sistem Pakar untuk Mendiagnosa Penyakit Hati Menggunakan Metode Forward Chaining",2011,"JUITA: Jurnal Informatika","jurnalnasional.ump.ac.id","https://jurnalnasional.ump.ac.id/index.php/JUITA/article/view/443","https://scholar.google.com/scholar?cites=14239128449586515871&as_sdt=2005&sciodt=0,5&hl=en",4,"2019-03-27","","","","",,,,,9,1.13,5,2,8
10,"M Jannah","Perancangan Sistem Pakar Untuk Mendiagnosa Penyakit Lambung Dengan Metode Dempster Shafer",2011,"","repository.usu.ac.id","http://repository.usu.ac.id/handle/123456789/27475","https://scholar.google.com/scholar?cites=5461465672353374316&as_sdt=2005&sciodt=0,5&hl=en",5,"2019-03-27","","","","",,,,,10,1.25,10,1,8
8,"A Solichin","Sistem Pakar berbasis mobile untuk mendeteksi penyakit pada ginjal",2011,"Jurnal Digital Information & System Conference","academia.edu","http://www.academia.edu/download/30903035/achmad-solichin-disc-2011.pdf","https://scholar.google.com/scholar?cites=7886180175589459415&as_sdt=2005&sciodt=0,5&hl=en",6,"2019-03-27","PDF","","","",,,,,8,1.00,8,1,8
10,"A Saputra","Sistem Pakar Identifikasi Penyakit Paru-Paru Pada Manusia Menggunakan Pemrograman Visual Basic 6.0",2011,"Jurnal Teknologi Dan Informatika (Teknomatika)","academia.edu","http://www.academia.edu/download/36369397/SISTEM_PAKAR_IDENTIFIKASI_PENYAKIT_PARU-PARU_PADA_MANUSIA_MENGGUNAKAN_PEMROGRAMAN_VISUAL_BASIC_6.0.pdf","https://scholar.google.com/scholar?cites=758967394532458386&as_sdt=2005&sciodt=0,5&hl=en",7,"2019-03-27","PDF","","","",,,,,10,1.25,10,1,8
8,"PM Prihatini","Metode Ketidakpastian dan Kesamaran dalam Sistem Pakar",2011,"Lontar Komputer","researchgate.net","https://www.researchgate.net/profile/Putu_Manik/publication/265096911_METODE_KETIDAKPASTIAN_DAN_KESAMARAN_DALAM_SISTEM_PAKAR/links/551b4e810cf251c35b50987b/METODE-KETIDAKPASTIAN-DAN-KESAMARAN-DALAM-SISTEM-PAKAR.pdf","https://scholar.google.com/scholar?cites=14094536672716170873&as_sdt=2005&sciodt=0,5&hl=en",8,"2019-03-27","PDF","","","",,,,,8,1.00,8,1,8
9,"B Kurniawan","Aplikasi sistem pakar berbasis web untuk diagnosa penyakit gigi dan mulut",2011,"","repository.uinjkt.ac.id","http://repository.uinjkt.ac.id/dspace/handle/123456789/5046","https://scholar.google.com/scholar?cites=2625685116964097634&as_sdt=2005&sciodt=0,5&hl=en",9,"2019-03-27","","","","",,,,,9,1.13,9,1,8
7,"I Sulistyowati","Implementasi Sistem Pakar Berbasis Web Untuk Mendiagnosis Penyakit Dalam Pada Manusia",2011,"Semantik","publikasi.dinus.ac.id","http://publikasi.dinus.ac.id/index.php/semantik/article/view/113","https://scholar.google.com/scholar?cites=10642310153382928478&as_sdt=2005&sciodt=0,5&hl=en",10,"2019-03-27","","","","",,,,,7,0.88,7,1,8
