Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
165,"S Eniyati","Perancangan Sistem Pendukung Pengambilan Keputusan untuk Penerimaan Beasiswa dengan Metode SAW (Simple Additive Weighting)",2011,"Dinamik","unisbank.ac.id","https://www.unisbank.ac.id/ojs/index.php/fti1/article/view/364","https://scholar.google.com/scholar?cites=17336721671647350803&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-05","","","","",,,,,165,20.63,165,1,8
21,"J Jasril, E Haerani, I Afrianty","Sistem Pendukung Keputusan (SPK) Pemilihan Karyawan Terbaik Menggunakan Metode Fuzzy AHP (F-AHP)",2011,"Seminar Nasional Aplikasi …","mahasiswa.dinus.ac.id","http://mahasiswa.dinus.ac.id/docs/skripsi/jurnal/12925.pdf","https://scholar.google.com/scholar?cites=14691962374639527341&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-05","PDF","","","",,,,,21,2.63,7,3,8
17,"R Alfita","Perancangan sistem pendukung keputusan penentuan prioritas produk unggulan daerah menggunakan metode Weighted Product (WP)",2011,"Jombang,[Prosiding Seminar Competitive Advantage I …","journal.unipdu.ac.id","https://www.journal.unipdu.ac.id/index.php/seminas/article/view/17","https://scholar.google.com/scholar?cites=16172015567279343629&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-05","","","","",,,,,17,2.13,17,1,8
14,"B Yuwono, FR Kodong, HA Yudha","Sistem Pendukung Keputusan Menggunakan Metode Promethee (Studi Kasus: Stasiun Pengisian Bahan Bakar Umum)",2011,"Teknik Elektronika, Universitas …","academia.edu","http://www.academia.edu/download/31785586/8_BAYU_RICHARD_SPK_promeehe.pdf","https://scholar.google.com/scholar?cites=3684935002358140745&as_sdt=2005&sciodt=0,5&hl=en",4,"2019-07-05","PDF","","","",,,,,14,1.75,5,3,8
9,"M Hanafi","SIG dan AHP untuk Sistem Pendukung Keputusan Perencanaan Wilayah Industri dan Pemukiman Kota Medan",2011,"","repository.usu.ac.id","http://repository.usu.ac.id/handle/123456789/26909","https://scholar.google.com/scholar?cites=5436693424650444693&as_sdt=2005&sciodt=0,5&hl=en",5,"2019-07-05","","","","",,,,,9,1.13,9,1,8
9,"Y Muchsam","PENERAPAN GAP ANALYSIS PADA PENGEMBANGAN SISTEM PENDUKUNG KEPUTUSAN PENlLAIAN KINERJA KARYAW AN (STUDI KASUS PT. XYZ)",2011,"","repository.widyatama.ac.id","https://repository.widyatama.ac.id/xmlui/handle/123456789/4476","https://scholar.google.com/scholar?cites=17949213720005032522&as_sdt=2005&sciodt=0,5&hl=en",6,"2019-07-05","","","","",,,,,9,1.13,9,1,8
8,"M Yunus, S Setyowibowo","Aplikasi sistem pendukung keputusan diagnosa penyakit paru-paru dengan metode forward chaining",2011,"JURNAL TEKNOLOGI INFORMASI …","ejurnal.stimata.ac.id","http://ejurnal.stimata.ac.id/index.php/TI/article/view/130","https://scholar.google.com/scholar?cites=5774406744680528051&as_sdt=2005&sciodt=0,5&hl=en",7,"2019-07-05","","","","",,,,,8,1.00,4,2,8
7,"RA Giovani, P Mudjihartono, P Pranowo","Sistem Pendukung Keputusan Prediksi Kecepatan Studi Mahasiswa Menggunakan Metode ID3",2011,"Jurnal Buana Informatika","ojs.uajy.ac.id","http://ojs.uajy.ac.id/index.php/jbi/article/view/313","https://scholar.google.com/scholar?cites=12129047962042122389&as_sdt=2005&sciodt=0,5&hl=en",8,"2019-07-05","","","","",,,,,7,0.88,2,3,8
6,"R Devianto","Sistem Pendukung Keputusan Pemilihan Supplier Obat Menggunakan Metode Promethee (Studi Kasus: Rumah Sakit Siti Khodijah Sepanjang)",2011,"","digilib.stikom.edu","http://digilib.stikom.edu/detil.php?id=1417","https://scholar.google.com/scholar?cites=9205528005264234210&as_sdt=2005&sciodt=0,5&hl=en",9,"2019-07-05","","","","",,,,,6,0.75,6,1,8
48,"G Abdurrahman","Penerapan Metode Tsukamoto (Logika Fuzzy) dalam Sistem Pendukung Keputusan untuk menentukan jumlah produksi barang berdasarkan data …",2011,"Universitas Negeri Yogyakarta. Yogyakarta","","","https://scholar.google.com/scholar?cites=17168866744795095868&as_sdt=2005&sciodt=0,5&hl=en",10,"2019-07-05","CITATION","","","",,,,,48,6.00,48,1,8
6,"E Julianti","Rancang bangun sistem pendukung keputusan dalam menentukan peserta asuransi rumahkoe Syariah menggunakan Fuzzy madm model yager (studi kasus: Ajb …",2011,"","repository.uinjkt.ac.id","http://repository.uinjkt.ac.id/dspace/handle/123456789/2884","https://scholar.google.com/scholar?cites=12925908122598014110&as_sdt=2005&sciodt=0,5&hl=en",11,"2019-07-05","","","","",,,,,6,0.75,6,1,8
5,"I Afrianty","Sistem Pendukung Keputusan (SPK) Pemilihan Karyawan Terbaik Menggunakan Metode Fuzzy AHP (F-AHP)",2011,"","repository.uin-suska.ac.id","http://repository.uin-suska.ac.id/id/eprint/603","https://scholar.google.com/scholar?cites=5171890074355763211&as_sdt=2005&sciodt=0,5&hl=en",12,"2019-07-05","","","","",,,,,5,0.63,5,1,8
