Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
3,"A Nugroho","Pengembangan Model Pembelajaran Jarak Jauh Berbasis Web",2012,"Jurnal Transformatika","journals.usm.ac.id","http://journals.usm.ac.id/index.php/transformatika/article/view/60","https://scholar.google.com/scholar?cites=9493822752182311062&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-15","","","","",,,,,3,0.43,3,1,7
2,"M Yusriannur","Aplikasi E-Voting Berbasis Web Untuk Menunjang Pemilihan Presiden Mahasiswa Pada Universitas Dian Nuswantoro Semarang",2012,"Jurnal Sistem Informasi Universitas Dian …","eprints.dinus.ac.id","http://eprints.dinus.ac.id/12843/1/jurnal_13047.pdf","https://scholar.google.com/scholar?cites=12475161941164257428&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-15","PDF","","","",,,,,2,0.29,2,1,7
6,"E Prihastono","Pengukuran kepuasan konsumen pada kualitas pelayanan customer service berbasis web",2012,"Jurnal Ilmiah Dinamika Teknik","unisbank.ac.id","https://www.unisbank.ac.id/ojs/index.php/ft1/article/view/1140","https://scholar.google.com/scholar?cites=14129622871350388903&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-15","","","","",,,,,6,0.86,6,1,7
2,"G Abdullah, K Kastaman, SG Arnan","Aplikasi Pengelolaan Kas Masuk dan Kas Keluar Berbasis Web pada Perusahaan xyz",2012,"Jurnal Teknologi Informasi","","","https://scholar.google.com/scholar?cites=7198201512149336942&as_sdt=2005&sciodt=0,5&hl=en",4,"2019-07-15","CITATION","","","",,,,,2,0.29,1,3,7
3,"AR Yudiantika, BS Hantono","Perancangan Antarmuka Layanan Informasi Wisata dan Kuliner di DIY Berbasis Web dan Mobile Web",2012,"Semin. Nas. Sci. Eng. Technol","researchgate.net","https://www.researchgate.net/profile/Aditya_Yudiantika/publication/258033488_Perancangan_Antarmuka_Layanan_Informasi_Wisata_dan_Kuliner_di_DIY_Berbasis_Web_dan_Mobile_Web/links/02e7e526b2d1d7d78c000000/Perancangan-Antarmuka-Layanan-Informasi-Wisata-dan-Kuliner-di-DIY-Berbasis-Web-dan-Mobile-Web.pdf","https://scholar.google.com/scholar?cites=17198439057208362806&as_sdt=2005&sciodt=0,5&hl=en",5,"2019-07-15","PDF","","","",,,,,3,0.43,2,2,7
1,"I Pandiangan, N Rohman","Rekayasa Perangkat Lunak Sistem Manajemen Konten Menggunakan Framework Codeigniter",2012,"Jurnal Computech & Bisnis","jurnal.stmik-mi.ac.id","http://jurnal.stmik-mi.ac.id/index.php/jcb/article/view/89","https://scholar.google.com/scholar?cites=10309068597159933834&as_sdt=2005&sciodt=0,5&hl=en",6,"2019-07-15","","","","",,,,,1,0.14,1,2,7
1,"T Suratno","Sistem Pemasaran E-commerce Produk Pertanian Berbasis Web Content Manajemen System",2012,"Sosio Ekon. Bisnis","online-journal.unja.ac.id","https://online-journal.unja.ac.id/jseb/article/view/2758","https://scholar.google.com/scholar?cites=591009231099422312&as_sdt=2005&sciodt=0,5&hl=en",7,"2019-07-15","","","","",,,,,1,0.14,1,1,7
1,"A Setiyawan, D Retnoningsih…","Sistem Informasi Tugas Akhir Berbasis Web Universitas Sahid Surakarta",2012,"Jurnal Gaung …","jurnal.usahidsolo.ac.id","http://jurnal.usahidsolo.ac.id/index.php/GI/article/view/138","https://scholar.google.com/scholar?cites=2616455979347222097&as_sdt=2005&sciodt=0,5&hl=en",8,"2019-07-15","","","","",,,,,1,0.14,0,3,7
1,"KK Dinata","Perekayasaan Web Magister Teknik Informatika Pada Universitas Bina Darma",2012,"Jurnal Teknologi dan Informatika (TEKNOMATIKA)","","","https://scholar.google.com/scholar?cites=11900665577972113547&as_sdt=2005&sciodt=0,5&hl=en",9,"2019-07-15","CITATION","","","",,,,,1,0.14,1,1,7
1,"U Ependi","Sistem Informasi Pemetaan Data Penduduk Miskin Di Kabupaten Ogan Komering Ulu Sumatera Selatan",2012,"Digital Information & Systems Conference","eprints.binadarma.ac.id","http://eprints.binadarma.ac.id/2241/","https://scholar.google.com/scholar?cites=4771395123874399733&as_sdt=2005&sciodt=0,5&hl=en",10,"2019-07-15","","","","",,,,,1,0.14,1,1,7
