Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
9,"R SA, M Salahuddin","Rekayasa Perangkat Lunak",2014,"","blog.ub.ac.id","http://blog.ub.ac.id/dindanovz/files/2013/08/RPL-Pendahuluan.pdf","https://scholar.google.com/scholar?cites=17802229193240918354&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-11-11","","","","",,,,,9,1.80,5,2,5
18,"AS Rosa, RPL Terstruktur, B Objek","Bandung",2014,"Indonesia: Informatika","","","https://scholar.google.com/scholar?cites=17826146412272948864&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-11-11","CITATION","","","",,,,,18,3.60,6,3,5
7,"FN Lenti","Rekayasa Database Terdistribusi Pada Layanan Pemesanan Tiket Pesawat Terbang",2014,"Jurnal Teknologi Technoscientia","ejournal.akprind.ac.id","https://ejournal.akprind.ac.id/index.php/technoscientia/article/view/559","https://scholar.google.com/scholar?cites=4030078344710348356&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-11-11","","","","",,,,,7,1.40,7,1,5
2,"K Andry, Y DODON, A YUDIANTRI","Rekayasa Perangkat Lunak Aplikasi Penjualan Pada Toko Story Time Factory Outlet Menggunakan Pemrograman Java",2014,"REKAYASA PERANGKAT …","repo.unand.ac.id","http://repo.unand.ac.id/id/eprint/286","https://scholar.google.com/scholar?cites=18439359709233555298&as_sdt=2005&sciodt=0,5&hl=en",4,"2019-11-11","","","","",,,,,2,0.40,1,3,5
2,"B Busran, NA Putra","Rekayasa perangkat lunak kriptografi menggunakan algoritma rsa pada sistem keamanan file berbasis java",2014,"Jurnal TeknoIf","ejournal.itp.ac.id","http://ejournal.itp.ac.id/index.php/tinformatika/article/view/181","https://scholar.google.com/scholar?cites=12362404460084824477&as_sdt=2005&sciodt=0,5&hl=en",5,"2019-11-11","","","","",,,,,2,0.40,1,2,5
0,"RPLSP JASA","JURNAL TUGAS AKHIR REKAYASA PERANGKAT LUNAK SISTEM PENJUALAN JASA KONSULTASI DESAIN INTERIOR, 3D ANIMASI BERBASIS WEB …",,"core.ac.uk","","https://core.ac.uk/download/pdf/35378889.pdf","",6,"2019-11-11","PDF","","","",,,,,0,0.00,0,1,
1,"MT Hidayat, R Rispianda, K Amila","Rancangan Perangkat Lunak Penjadwalan Perkuliahan di Jurusan Teknik Industri ITENAS",2014,"REKA INTEGRA","ejurnal.itenas.ac.id","http://ejurnal.itenas.ac.id/index.php/rekaintegra/article/view/519","https://scholar.google.com/scholar?cites=17204937446059110145&as_sdt=2005&sciodt=0,5&hl=en",7,"2019-11-11","","","","",,,,,1,0.20,0,3,5
2,"RPL Terstruktur, B Objek","Bandung",2014,"Informatika","","","https://scholar.google.com/scholar?cites=3058705360739430922&as_sdt=2005&sciodt=0,5&hl=en",8,"2019-11-11","CITATION","","","",,,,,2,0.40,1,2,5
3,"RW Nugraha, Z Junaedi","Perangkat Lunak Sistem Perhitungan Dasar Harga Pokok Produksi (HPP) Percetakan Buku dengan Mengunakan Metode Activity Based Costing Berbasis Website",2014,"Jurnal Komputer Bisnis","jurnal.lpkia.ac.id","http://jurnal.lpkia.ac.id/index.php/jkb/article/view/53","https://scholar.google.com/scholar?cites=13568391670195511328&as_sdt=2005&sciodt=0,5&hl=en",9,"2019-11-11","","","","",,,,,3,0.60,2,2,5
2,"Z Ariansyah, DDS Fatimah, E Retnadi","PERANCANGAN PERANGKAT LUNAK PENDISTRIBUSIAN LIQUIFIED PETROLEUM GAS (LPG) DI PT. DENAS SHANTIKA PERKASA",2014,"Jurnal Algoritma","jurnal.sttgarut.ac.id","http://jurnal.sttgarut.ac.id/index.php/algoritma/article/view/205","https://scholar.google.com/scholar?cites=7957818455790614420&as_sdt=2005&sciodt=0,5&hl=en",10,"2019-11-11","","","","",,,,,2,0.40,1,3,5
