Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
86,"DR Rahadi","Pengukuran usability sistem menggunakan use questionnaire pada aplikasi android",2014,"Jurnal Sistem Informasi","ejournal2.unsri.ac.id","http://ejournal2.unsri.ac.id/index.php/jsi/article/view/772","https://scholar.google.com/scholar?cites=6341984121884888241&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-11-15","","","","",,,,,86,17.20,86,1,5
16,"INS Adiputra, N Sugihartini…","Pengembangan E-Modul pada Materi “Melakukan Instalasi Sistem Operasi Jaringan Berbasis GUI dan Text” untuk Siswa Kelas X Teknik Komputer dan Jaringan SMK …",2014,"Kumpulan Artikel …","ejournal.undiksha.ac.id","https://ejournal.undiksha.ac.id/index.php/KP/article/view/19762","https://scholar.google.com/scholar?cites=11758917410722700212&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-11-15","","","","",,,,,16,3.20,5,3,5
133,"DW Ariani","Manajemen Operasi Jasa",2014,"","repository.ut.ac.id","http://repository.ut.ac.id/4814/1/EKMA4369-M1.pdf","https://scholar.google.com/scholar?cites=9110710754818601345&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-11-15","PDF","","","",,,,,133,26.60,133,1,5
8,"D Sulisworo","Pengembangan Sistem Manajemen Pembelajaran Kooperatif Secara Mobile Berbasis Sistem Operasi Android",2014,"Indonesian Journal of Curriculum and Educational …","learntechlib.org","https://www.learntechlib.org/p/209362/","https://scholar.google.com/scholar?cites=220545733970105910&as_sdt=2005&sciodt=0,5&hl=en",4,"2019-11-15","","","","",,,,,8,1.60,8,1,5
26,"P Rahmiati, G Firdaus…","Implementasi Sistem Bluetooth menggunakan Android dan Arduino untuk Kendali Peralatan Elektronik",2014,"ELKOMIKA: Jurnal Teknik …","ejurnal.itenas.ac.id","https://ejurnal.itenas.ac.id/index.php/elkomika/article/view/814","https://scholar.google.com/scholar?cites=17173669259243876678&as_sdt=2005&sciodt=0,5&hl=en",5,"2019-11-15","","","","",,,,,26,5.20,9,3,5
5,"M Akbar, KI Satoto, RR Isnanto","Pembuatan Aplikasi Layanan Pesan Antar Makanan Pada Sistem Operasi Android",2014,"Transmisi","ejournal.undip.ac.id","https://ejournal.undip.ac.id/index.php/transmisi/article/view/7578","https://scholar.google.com/scholar?cites=1746896848603574346&as_sdt=2005&sciodt=0,5&hl=en",6,"2019-11-15","","","","",,,,,5,1.00,2,3,5
8,"V Fuspita, A Vatresia…","Sistem Pendukung Keputusan Pemilihan Restoran Di Kota Bengkulu Dengan Metode Simple Additive Weighting (Saw) Berbasis Sistem Operasi Android",2014,"Rekursif: Jurnal Informatika","ejournal.unib.ac.id","https://ejournal.unib.ac.id/index.php/rekursif/article/view/305","https://scholar.google.com/scholar?cites=2495790754480796601&as_sdt=2005&sciodt=0,5&hl=en",7,"2019-11-15","","","","",,,,,8,1.60,3,3,5
21,"AP Utomo","Pemodelan arsitektur enterprise sistem informasi akademik pada perguruan tinggi menggunakan enterprise architecture planning",2014,"Simetris: Jurnal Teknik Mesin, Elektro dan Ilmu …","jurnal.umk.ac.id","https://jurnal.umk.ac.id/index.php/simet/article/view/129","https://scholar.google.com/scholar?cites=3395951564748345420&as_sdt=2005&sciodt=0,5&hl=en",8,"2019-11-15","","","","",,,,,21,4.20,21,1,5
12,"A Fatoni, DB Rendra","Perancangan Prototype Sistem Kendali Lampu Menggunakan Handphone Android Berbasis Arduino",2014,"PROSISKO: Jurnal Pengembangan …","e-jurnal.lppmunsera.org","http://e-jurnal.lppmunsera.org/index.php/PROSISKO/article/view/84","https://scholar.google.com/scholar?cites=6774871643231220440&as_sdt=2005&sciodt=0,5&hl=en",9,"2019-11-15","","","","",,,,,12,2.40,6,2,5
11,"RRF Siahaan, KI Satoto…","Implementasi Sistem Informasi Geografis Daerah Pariwisata Kota Semarang Berbasis Android Dengan Global Positioning System (GPS)",2014,"Jurnal Teknologi dan …","jtsiskom.undip.ac.id","http://jtsiskom.undip.ac.id/index.php/jtsiskom/article/view/4764","https://scholar.google.com/scholar?cites=5981860448254114843&as_sdt=2005&sciodt=0,5&hl=en",10,"2019-11-15","","","","",,,,,11,2.20,4,3,5
