Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
0,"H Iswadi, A Herlambang, E Asmawati, FD Kartikasari…","Diktat Pengantar Aljabar Linier",2015,"","repository.ubaya.ac.id","http://repository.ubaya.ac.id/id/eprint/25309","",1,"2019-11-16 00:19:58","","","","",,,,,0,0.00,0,5,4
0,"S Side, S Syahrana","APLIKASI INVERS MATRIKS DALAM PEMBENTUKAN PESAN RAHASIA",2015,"TEKNOSAINS: MEDIA INFORMASI …","journal.uin-alauddin.ac.id","http://journal.uin-alauddin.ac.id/index.php/teknosains/article/download/1854/1795","",2,"2019-11-16 00:19:58","PDF","","","",,,,,0,0.00,0,2,4
3,"R Nuraini","Desain Algorithma Operasi Perkalian Matriks Menggunakan Metode Flowchart",2015,"Jurnal Teknik Komputer","ejournal.bsi.ac.id","http://ejournal.bsi.ac.id/ejurnal/index.php/jtk/article/download/245/211","https://scholar.google.com/scholar?cites=577096678697910373&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-11-16 00:19:58","PDF","","","",,,,,3,0.75,3,1,4
0,"F Aryani, L Andari","Invers Drazin Dari Matriks Sirkulan",2015,"Jurnal Sains Matematika dan Statistika","ejournal.uin-suska.ac.id","http://ejournal.uin-suska.ac.id/index.php/JSMS/article/download/1967/1368","",4,"2019-11-16 00:19:58","PDF","","","",,,,,0,0.00,0,2,4
0,"SUN Sholihah","Pengaplikasian Aljabar Linier untuk Menghitung Pertumbuhan Populasi Hewan Ternak",,"informatika.stei.itb.ac.id","","http://informatika.stei.itb.ac.id/~rinaldi.munir/AljabarGeometri/2015-2016/Makalah-2015/Makalah-IF2123-2015-027.pdf","",5,"2019-11-16 00:19:58","PDF","","","",,,,,0,0.00,0,1,
0,"S Suhendry, I Suryani","Menentukan Invers Drazin dari Matriks Singular Dengan Metode Leverrier Faddeev",2015,"Jurnal Sains Matematika dan …","ejournal.uin-suska.ac.id","http://ejournal.uin-suska.ac.id/index.php/JSMS/article/view/1970","",6,"2019-11-16 00:19:58","","","","",,,,,0,0.00,0,2,4
0,"M Zainudin","Studi Eksploratif Kualitas Bukti Matematis pada Soal Aritmatika Matriks Berbasis Motivation to Reasioning Tasks",2015,"JIPM (Jurnal Ilmiah Pendidikan Matematika)","e-journal.unipma.ac.id","http://e-journal.unipma.ac.id/index.php/jipm/article/view/836","",7,"2019-11-16 00:19:58","","","","",,,,,0,0.00,0,1,4
0,"A Afina","Kajian tentang Sistem Kongruensi Linier",2015,"","eprints.umm.ac.id","http://eprints.umm.ac.id/22908/","",8,"2019-11-16 00:19:58","","","","",,,,,0,0.00,0,1,4
0,"YK TIMUR","Penambahan Sistem Keamanan Terhadap Aplikasi Pembuat Steganografi Menggunakan Kriptografi Klasik Kode ASCII Sesuai Perhitungan Matriks dengan MATLAB",2015,"","eprints.umm.ac.id","http://eprints.umm.ac.id/22915/","",9,"2019-11-16 00:19:58","","","","",,,,,0,0.00,0,1,4
0,"N Khasanah, F Farikhin, B SURARSO","Analisis Konvergensi dari Komputasi Invers Matriks Centrosymmetric",2015,"","eprints.undip.ac.id","http://eprints.undip.ac.id/47577/1/Prosiding_SNMPM_UNDIP_2015.pdf","",10,"2019-11-16 00:19:58","PDF","","","",,,,,0,0.00,0,3,4
0,"T Utami, Z Zulakmal","OBSERVER LINIER POSITIF UNTUK SISTEM LINIER POSITIF",2015,"Jurnal Matematika UNAND","jmua.fmipa.unand.ac.id","http://jmua.fmipa.unand.ac.id/index.php/jmua/article/view/479","",11,"2019-11-16 00:19:58","","","","",,,,,0,0.00,0,2,4
