Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
10,"YG Hartlambang, M Ali…","Unjuk Kerja Kecerdasan Buatan (Artificial Intelligence) Dalam Mengoptimalkan Kecepatan Motor Dc Dengan Menggunakan Metode Imperalistt Competitive …",2015,"Jurnal Intake: Jurnal …","ejournal.undar.ac.id","https://www.ejournal.undar.ac.id/index.php/intake/article/view/368","https://scholar.google.com/scholar?cites=9922410751390638994&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-09-28","","","","",,,,,10,2.50,3,3,4
53,"R Syahputra, A Aziz, E Prasetyo, RI Mainil…","Simulasi Pengendalian Temperatur Pada Heat Exchanger Menggunakan Teknik Neuro-Fuzzy Adaptif",2015,"Jurnal …","jurtek.akprind.ac.id","http://jurtek.akprind.ac.id/sites/default/files/160-168_syahputra.pdf","https://scholar.google.com/scholar?cites=12491019863183327036&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-09-28","PDF","","","",,,,,53,13.25,11,5,4
37,"R Syahputra","Estimasi Lokasi Gangguan Hubung Singkat pada Saluran Transmisi Tenaga Listrik",2015,"Semesta Teknika","journal.umy.ac.id","http://journal.umy.ac.id/index.php/st/article/view/418","https://scholar.google.com/scholar?cites=5199057207236205660&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-09-28","","","","",,,,,37,9.25,37,1,4
2,"ET Prasetyo, ND Retnowati","Penerapan Kecerdasan Buatan Pada Game “Air Strike Stta” Berbasis Client Server Pada Android",2015,"Compiler","ejournals.stta.ac.id","http://ejournals.stta.ac.id/index.php/compiler/article/view/83","https://scholar.google.com/scholar?cites=15128689939007534438&as_sdt=2005&sciodt=0,5&hl=en",4,"2019-09-28","","","","",,,,,2,0.50,1,2,4
14,"S Halim, S Hansun","Penerapan Metode Certainty Factor dalam Sistem Pakar Pendeteksi Resiko Osteoporosis dan Osteoarthritis",2015,"Ultima Computing: Jurnal Sistem …","ejournals.umn.ac.id","http://ejournals.umn.ac.id/index.php/SK/article/view/233/0","https://scholar.google.com/scholar?cites=12133994193066135520&as_sdt=2005&sciodt=0,5&hl=en",5,"2019-09-28","","","","",,,,,14,3.50,7,2,4
18,"W Verina","Penerapan Metode Forward Chaining untuk Mendeteksi Penyakit THT",2015,"Jurnal Teknik Informatika Dan Sistem Informasi","jurnal.mdp.ac.id","http://jurnal.mdp.ac.id/index.php/jatisi/article/view/29","https://scholar.google.com/scholar?cites=12803777245458476864&as_sdt=2005&sciodt=0,5&hl=en",6,"2019-09-28","","","","",,,,,18,4.50,18,1,4
9,"L Hakim, A Fauzy","Penentuan Pola Hubungan Kecelakaan Lalu Lintas Menggunakan Metode Association Rules Dengan Algoritma Apriori (Studi Kasus: Tingkat Kecelakaan di Jalan …",2015,"","publikasiilmiah.ums.ac.id","https://publikasiilmiah.ums.ac.id/xmlui/handle/11617/5177","https://scholar.google.com/scholar?cites=10494017157509147948&as_sdt=2005&sciodt=0,5&hl=en",7,"2019-09-28","","","","",,,,,9,2.25,5,2,4
1,"AA Muslim","Pengembangan Media Pembelajaran Kecerdasan Buatan Berbasis Moodle Pada Program Studi S1 Pendidikan Teknik Informatika Di Universitas Negeri Malang",2015,"SKRIPSI Jurusan Teknik Elektro-Fakultas Teknik …","karya-ilmiah.um.ac.id","http://karya-ilmiah.um.ac.id/index.php/TE/article/view/37153","https://scholar.google.com/scholar?cites=12679268010914367024&as_sdt=2005&sciodt=0,5&hl=en",8,"2019-09-28","","","","",,,,,1,0.25,1,1,4
6,"PV Andreyana, IN Piarsa, PW Buana","Sistem Pakar Analisis Kepribadian Diri dengan Metode Certainty Factor",2015,"Jurnal Ilmiah Merpati (Menara …","ojs.unud.ac.id","https://ojs.unud.ac.id/index.php/merpati/article/view/17801","https://scholar.google.com/scholar?cites=5447011728696346963&as_sdt=2005&sciodt=0,5&hl=en",9,"2019-09-28","","","","",,,,,6,1.50,2,3,4
7,"YP Bria, EAS Takung","Pengembangan Sistem Pakar Diagnosis Penyakit Tuberculosis Dan Demam Berdarah Berbasis Web Menggunakan Metode Certainty Factor",2015,"Seminar Nasional Teknologi Informasi dan …","fti.uajy.ac.id","https://fti.uajy.ac.id/sentika/publikasi/makalah/2015/35.pdf","https://scholar.google.com/scholar?cites=14209738469406267477&as_sdt=2005&sciodt=0,5&hl=en",10,"2019-09-28","PDF","","","",,,,,7,1.75,4,2,4
