Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
14,"FN Salisah, L Lidya, S Defit","Sistem Pakar Penentuan Bakat Anak Dengan Menggunakan Metode Forward Chaining",2015,"Jurnal Ilmiah Rekayasa Dan …","ejournal.uin-suska.ac.id","http://ejournal.uin-suska.ac.id/index.php/RMSI/article/view/1307","https://scholar.google.com/scholar?cites=2507031018472394976&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-03-27","","","","",,,,,14,3.50,5,3,4
12,"B Yuwono","Pengembangan sistem pakar pada perangkat mobile untuk mendiagnosa penyakit gigi",2015,"Seminar Nasional Informatika (SEMNASIF)","jurnal.upnyk.ac.id","http://jurnal.upnyk.ac.id/index.php/semnasif/article/view/1181","https://scholar.google.com/scholar?cites=18019258812047566868&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-03-27","","","","",,,,,12,3.00,12,1,4
8,"FA Tarigan","Sistem Pakar Untuk Mendiagnosa Penyakit Ginjal dengan Metode Backward Chaining",2015,"Jurnal Times","ejournal.stmik-time.ac.id","http://ejournal.stmik-time.ac.id/index.php/jurnalTIMES/article/view/18","https://scholar.google.com/scholar?cites=8282814136349023701&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-03-27","","","","",,,,,8,2.00,8,1,4
8,"IC Dewi, AA Soebroto, MT Furqon","Sistem pakar diagnosa penyakit sapi potong dengan metode naive bayes",2015,"Journal of Environmental …","jeest.ub.ac.id","http://jeest.ub.ac.id/index.php/jeest/article/view/30","https://scholar.google.com/scholar?cites=7341428080830728074&as_sdt=2005&sciodt=0,5&hl=en",4,"2019-03-27","","","","",,,,,8,2.00,3,3,4
8,"S Halim, S Hansun","Penerapan Metode Certainty Factor dalam Sistem Pakar Pendeteksi Resiko Osteoporosis dan Osteoarthritis",2015,"ULTIMA Computing","ejournals.umn.ac.id","http://ejournals.umn.ac.id/index.php/SK/article/view/233","https://scholar.google.com/scholar?cites=12133994193066135520&as_sdt=2005&sciodt=0,5&hl=en",5,"2019-03-27","","","","",,,,,8,2.00,4,2,4
7,"AS Aribowo, S Khomsah","Sistem Pakar Dengan Beberapa Knowledge Base Menggunakan Probabilitas Bayes Dan Mesin Inferensi Forward Chaining",2015,"Seminar Nasional Informatika …","jurnal.upnyk.ac.id","http://jurnal.upnyk.ac.id/index.php/semnasif/article/view/1267","https://scholar.google.com/scholar?cites=10668476766080309150&as_sdt=2005&sciodt=0,5&hl=en",6,"2019-03-27","","","","",,,,,7,1.75,4,2,4
6,"PV Andreyana, IN Piarsa, PW Buana","Sistem Pakar Analisis Kepribadian Diri dengan Metode Certainty Factor",2015,"Jurnal Ilmiah Merpati (Menara …","ojs.unud.ac.id","https://ojs.unud.ac.id/index.php/merpati/article/download/17801/11549","https://scholar.google.com/scholar?cites=5447011728696346963&as_sdt=2005&sciodt=0,5&hl=en",7,"2019-03-27","PDF","","","",,,,,6,1.50,2,3,4
6,"YP Bria, EAS Takung","Pengembangan Sistem Pakar Diagnosis Penyakit Tuberculosis Dan Demam Berdarah Berbasis Web Menggunakan Metode Certainty Factor",2015,"Seminar Nasional Teknologi Informasi dan …","fti.uajy.ac.id","https://fti.uajy.ac.id/sentika/publikasi/makalah/2015/35.pdf","https://scholar.google.com/scholar?cites=14209738469406267477&as_sdt=2005&sciodt=0,5&hl=en",8,"2019-03-27","PDF","","","",,,,,6,1.50,3,2,4
264,"J Hutahaean","Konsep sistem informasi",2015,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=o8LjCAAAQBAJ&oi=fnd&pg=PR7&dq=%22sistem+pakar%22&ots=t_v9xnN_9H&sig=xXREJNYZDqTQMtRp0ADtlbRnA8s","https://scholar.google.com/scholar?cites=14183072006394383801&as_sdt=2005&sciodt=0,5&hl=en",9,"2019-03-27","BOOK","","","",,,,,264,66.00,264,1,4
6,"M Turnip","Sistem Pakar Diagnosa Penyakit THT Menggunakan Metode Backward Chaining",2015,"Riau Journal Of Computer Science","e-journal.upp.ac.id","http://e-journal.upp.ac.id/index.php/RJOCS/article/view/482","https://scholar.google.com/scholar?cites=14152489353009935864&as_sdt=2005&sciodt=0,5&hl=en",10,"2019-03-27","","","","",,,,,6,1.50,6,1,4
5,"AK Nugroho, R Wardoyo","Sistem Pakar Menggunakan Teorema Bayes untuk Mendiagnosa Penyakit Kehamilan",2015,"Berkala Ilmiah MIPA","pdm-mipa.ugm.ac.id","http://pdm-mipa.ugm.ac.id/ojs/index.php/bimipa/article/view/904","https://scholar.google.com/scholar?cites=17178760821476285707&as_sdt=2005&sciodt=0,5&hl=en",11,"2019-03-27","","","","",,,,,5,1.25,3,2,4
