Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
0,"AAJ Permana, YR Alkautsar","Sistem Pendukung Keputusan Penentuan Supplier Suku Cadang Mobil Pabrikan Eropa Dalam Konteks Interaksi Manusia Komputer",2016,"Jurnal Nasional Pendidikan …","ejournal.undiksha.ac.id","http://ejournal.undiksha.ac.id/index.php/janapati/article/download/9921/6297","",1,"2019-11-13","PDF","","","",,,,,0,0.00,0,2,3
2,"W Firdaus","RANCANG BANGUN MADING ONLINE BERBASIS WEB (Studi Kasus: Program Studi Sistem Informasi Fakultas Sains dan Teknologi Universitas Islam Negeri Sultan …",2016,"","repository.uin-suska.ac.id","http://repository.uin-suska.ac.id/3080/","https://scholar.google.com/scholar?cites=18030842183960945207&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-11-13","","","","",,,,,2,0.67,2,1,3
5,"T Lestariningsih","Analisis Sitem Informasi Dalam Perspektif Human Computer Interaction",2016,"Jurnal AKSI (Akuntansi dan Sistem Informasi)","journal.pnm.ac.id","http://journal.pnm.ac.id/index.php/aksi/article/view/98","https://scholar.google.com/scholar?cites=17202445482268572626&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-11-13","","","","",,,,,5,1.67,5,1,3
2,"R Andrian, D Sakethi, M Chairuddin","Pengembangan Sistem Informasi Penelitian dan Pengabdian Dosen Jurusan Ilmu Komputer Menggunakan Metode Rational Unified Process (RUP)",2016,"Jurnal Komputasi","jurnal.fmipa.unila.ac.id","http://jurnal.fmipa.unila.ac.id/komputasi/article/view/1090","https://scholar.google.com/scholar?cites=10563738156676370294&as_sdt=2005&sciodt=0,5&hl=en",4,"2019-11-13","","","","",,,,,2,0.67,1,3,3
0,"D Abdullah","Pertemuan X: Diktat Kuliah Interaksi Manusia & Komputer (IMK)-Teknik Evaluasi",2016,"","repository.unimal.ac.id","http://repository.unimal.ac.id/1111/1/10-teknik-evaluasi.pdf","",5,"2019-11-13","PDF","","","",,,,,0,0.00,0,1,3
0,"U Dewi Widianti","Kerangka Kerja Dan Paradigma Interaksi",2016,"","repository.unikom.ac.id","https://repository.unikom.ac.id/49098/1/Kerangka%20Kerja%20dan%20Paradigma%20Interaksi.pdf","",6,"2019-11-13","","","","",,,,,0,0.00,0,1,3
2,"E Paulus, M Suryani, R Farabi…","EVALUASI APLIKASI SEMI-IMMERSIVE VIRTUAL REALITY PADA BIDANG PENDIDIKAN MENURUT ASPEK HEURISTIK DAN PEMBELAJARAN",2016,"JIKO (Jurnal …","ejournal.akakom.ac.id","https://ejournal.akakom.ac.id/index.php/jiko/article/view/32","https://scholar.google.com/scholar?cites=17748467443430509632&as_sdt=2005&sciodt=0,5&hl=en",7,"2019-11-13","","","","",,,,,2,0.67,1,4,3
0,"ML Adzani","Analisis dan perancangan UI/UX pada prototype aplikasi mobile E-Commerce Gramedia. com",2016,"","kc.umn.ac.id","http://kc.umn.ac.id/1268/2/BAB%20I.pdf","",8,"2019-11-13","","","","",,,,,0,0.00,0,1,3
5,"A Yasin, MZ Yumarlin","Evaluasi Web UJB menggunakan Golden Rules Of User Interface Design Theo Mandel",2016,"SEMNASTEKNOMEDIA ONLINE","ojs.amikom.ac.id","http://ojs.amikom.ac.id/index.php/semnasteknomedia/article/view/1160","https://scholar.google.com/scholar?cites=4677970737013784228&as_sdt=2005&sciodt=0,5&hl=en",9,"2019-11-13","","","","",,,,,5,1.67,3,2,3
4,"T Oktaviana, LY Syah…","Analisis Aplikasi Gojek dengan Menggunakan Metode Usability",2016,"… Teknologi Informasi dan …","eprints.binadarma.ac.id","http://eprints.binadarma.ac.id/3238/","https://scholar.google.com/scholar?cites=15439747899288644273&as_sdt=2005&sciodt=0,5&hl=en",10,"2019-11-13","","","","",,,,,4,1.33,1,3,3
2,"MIP Nasution, SD Andriana","Aplikasi Pembelajaran Berbasis Mobile Untuk Tuna Aksara",2016,"MATICS","103.17.76.13","http://103.17.76.13/index.php/saintek/article/view/3475","https://scholar.google.com/scholar?cites=17433210222089282124&as_sdt=2005&sciodt=0,5&hl=en",11,"2019-11-13","","","","",,,,,2,0.67,1,2,3
0,"RJ Iskandar","PERANCANGAN APLIKASI PEMBELAJARAN NOTASI DAN TANGGA NADA DENGAN PARTITUR BERBASIS ANDROID",2016,"INTEKSIS","journal.widyadharma.ac.id","http://journal.widyadharma.ac.id/index.php/inteksis/article/view/126","",12,"2019-11-13","","","","",,,,,0,0.00,0,1,3
