Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
2,"R Muzawi","Aplikasi Pengendalian Port dengan Utilitas Port Knocking untuk Optimalisasi Sistem Keamanan Jaringan Komputer",2016,"SATIN-Sains dan Teknologi Informasi","jurnal.stmik-amik-riau.ac.id","http://jurnal.stmik-amik-riau.ac.id/index.php/satin/article/view/123","https://scholar.google.com/scholar?cites=10361613116530776473&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-11-18","","","","",,,,,2,0.67,2,1,3
1,"H Sutisna","ANALISA PROTEKSI SERANGAN ENKRIPSI DATA MELALUI KEAMANAN MODEL KRIPTOGRAFI KOMUNIKASI JARINGAN KOMPUTER",2016,"IJCIT (Indonesian Journal on Computer and …","ejournal.bsi.ac.id","http://ejournal.bsi.ac.id/ejurnal/index.php/ijcit/article/view/1516","https://scholar.google.com/scholar?cites=13283864306505300066&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-11-18","","","","",,,,,1,0.33,1,1,3
2,"CE Suharyanto","Analisis Komparatif Sistem Keamanan Windows 7 Dan Windows 8",2016,"JIF (Jurnal Ilm. Inform., vol. 4, pp. 1–16","researchgate.net","https://www.researchgate.net/profile/Cosmas_Suharyanto/publication/315491995_Analisis_Komparatif_Sistem_Keamanan_Windows_7_Dan_Windows_8/links/58d25bce92851cf4f8f5e2e9/Analisis-Komparatif-Sistem-Keamanan-Windows-7-Dan-Windows-8","https://scholar.google.com/scholar?cites=9821121467603520528&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-11-18","DOC","","","",,,,,2,0.67,2,1,3
6,"NB Nugroho, Z Azmi, SN Arif","Aplikasi Keamanan Email Menggunakan Algoritma Rc4",2016,"Jurnal SAINTIKOM Vol","prpm.trigunadharma.ac.id","https://prpm.trigunadharma.ac.id/public/fileJurnal/hpO91%20Jurnal%20Nurcahyo.pdf","https://scholar.google.com/scholar?cites=11290582369581975491&as_sdt=2005&sciodt=0,5&hl=en",4,"2019-11-18","PDF","","","",,,,,6,2.00,2,3,3
3,"M Muhsin, A Fajaryanto","Penerapan Pengujian Keamanan Web Server Menggunakan Metode OWASP versi 4 (Studi Kasus Web Server Ujian Online)",2016,"Multitek Indonesia: Jurnal Ilmiah","journal.umpo.ac.id","http://journal.umpo.ac.id/index.php/multitek/article/view/149","https://scholar.google.com/scholar?cites=1039456838738676903&as_sdt=2005&sciodt=0,5&hl=en",5,"2019-11-18","","","","",,,,,3,1.00,2,2,3
1,"J Siregar","IMPLEMENTASI KEAMANAN DATA TEKS DENGAN ALGORITMA GOST DAN ROT13",2016,"Jurnal Ilmiah INFOTEK","ejurnal.amikstiekomsu.ac.id","https://ejurnal.amikstiekomsu.ac.id/index.php/infotek/article/view/40","https://scholar.google.com/scholar?cites=12039829721984906120&as_sdt=2005&sciodt=0,5&hl=en",6,"2019-11-18","","","","",,,,,1,0.33,1,1,3
0,"H Syahrial","Pengembangan Sistem Manajemen Tanggapan Insiden Keamanan Komputer (CSIRMS), Studi Kasus Kantor Akuntan Publik",2016,"Telematika MKOM","journal.budiluhur.ac.id","https://journal.budiluhur.ac.id/index.php/telematika/article/view/201","",7,"2019-11-18","","","","",,,,,0,0.00,0,1,3
1,"DC Islami, KB IH, C Candiwan","Kesadaran Keamanan Informasi pada Pegawai Bank x di Bandung Indonesia",2016,"INKOM Journal","jurnal.informatika.lipi.go.id","http://jurnal.informatika.lipi.go.id/index.php/inkom/article/view/428","https://scholar.google.com/scholar?cites=5876498184255747990&as_sdt=2005&sciodt=0,5&hl=en",8,"2019-11-18","","","","",,,,,1,0.33,0,3,3
1,"E Purnomo, A Ashari","Implementasi Replikasi Data Asynchronous untuk Keamanan Data Sistem Informasi Akademik Online",2016,"BIMIPA","journal.ugm.ac.id","https://journal.ugm.ac.id/bimipa/article/view/13837","https://scholar.google.com/scholar?cites=2579891444111808802&as_sdt=2005&sciodt=0,5&hl=en",9,"2019-11-18","","","","",,,,,1,0.33,1,2,3
0,"P Pratiwi, D Atmodjo","Model Keamanan Data Pembangkit Bilangan Acak dengan Modifikasi Urutan",2016,"","repository.perbanas.id","http://repository.perbanas.id/xmlui/handle/123456789/1660","",10,"2019-11-18","","","","",,,,,0,0.00,0,2,3
