Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
24,"AK Tarigan, SD Nasution…","Aplikasi Pembelajaran Citra Dengan Menggunakan Metode Computer Assisted Instruction (CAI)",2016,"JURIKOM (Jurnal …","ejurnal.stmik-budidarma.ac.id","https://ejurnal.stmik-budidarma.ac.id/index.php/jurikom/article/view/329","https://scholar.google.com/scholar?cites=15088240774094809873&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-15","","","","",,,,,24,8.00,8,3,3
6,"L Arsy, OD Nurhayati…","Aplikasi Pengolahan Citra Digital Meat Detection Dengan Metode Segmentasi K-Mean Clustering Berbasis OpenCV Dan Eclipse",2016,"Jurnal Teknologi dan …","jtsiskom.undip.ac.id","http://jtsiskom.undip.ac.id/index.php/jtsiskom/article/view/12719","https://scholar.google.com/scholar?cites=17530465239189514870&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-15","","","","",,,,,6,2.00,2,3,3
23,"I Putra","Klasifikasi Citra Menggunakan Convolutional Neural Network (CNN) pada Caltech 101",2016,"","repository.its.ac.id","http://repository.its.ac.id/id/eprint/48842","https://scholar.google.com/scholar?cites=5627737669490564452&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-15","","","","",,,,,23,7.67,23,1,3
4,"AA Kurniawan, M Rivai, F Budiman","Sistem pemandu pendaratan pada balon udara berbasis pengolahan citra dan kendali PID",2016,"Jurnal Teknik ITS","ejurnal.its.ac.id","http://www.ejurnal.its.ac.id/index.php/teknik/article/view/16276","https://scholar.google.com/scholar?cites=4532770959918892448&as_sdt=2005&sciodt=0,5&hl=en",4,"2019-07-15","","","","",,,,,4,1.33,1,3,3
5,"R Rahmadewi, R Kurnia","Klasifikasi Penyakit Paru Berdasarkan Citra Rontgen dengan Metoda Segmentasi Sobel",2016,"Jurnal Nasional Teknik Elektro","jnte.ft.unand.ac.id","http://jnte.ft.unand.ac.id/index.php/jnte/article/view/174","https://scholar.google.com/scholar?cites=12540027717046843533&as_sdt=2005&sciodt=0,5&hl=en",5,"2019-07-15","","","","",,,,,5,1.67,3,2,3
8,"RH Jatmiko","Penggunaan Citra Saluran Inframerah Termal untuk Studi Perubahan Liputan Lahan dan Suhu sebagai Indikator Perubahan Iklim Perkotaan di Yogyakarta",2016,"","etd.repository.ugm.ac.id","http://etd.repository.ugm.ac.id/index.php?mod=book_detail&sub=BookDetail&act=view&typ=htmlext&buku_id=94636&obyek_id=4&unitid=&jenis_id=","https://scholar.google.com/scholar?cites=2558369372262651754&as_sdt=2005&sciodt=0,5&hl=en",6,"2019-07-15","","","","",,,,,8,2.67,8,1,3
3,"U Ahmad","Aplikasi teknik pengolahan citra dalam analisis non-destruktif produk pangan",2016,"Jurnal Pangan","jurnalpangan.com","http://www.jurnalpangan.com/index.php/pangan/article/view/119","https://scholar.google.com/scholar?cites=8231329091289983643&as_sdt=2005&sciodt=0,5&hl=en",7,"2019-07-15","","","","",,,,,3,1.00,3,1,3
3,"AR Putri","Pengolahan Citra dengan Menggunakan Web CAM pada Kendaraan Bergerak Di Jalan Raya",2016,"JIPI (Jurnal Ilmiah Penelitian dan …","jurnal.stkippgritulungagung.ac.id","http://jurnal.stkippgritulungagung.ac.id/index.php/jipi/article/view/18/0","https://scholar.google.com/scholar?cites=17392139312175003406&as_sdt=2005&sciodt=0,5&hl=en",8,"2019-07-15","","","","",,,,,3,1.00,3,1,3
5,"I Indrabayu, M Niswar, AA Aman","Sistem Pendeteksi Kesegaran Ikan Bandeng Menggunakan Citra",2016,"Jurnal Infotel","ejournal.st3telkom.ac.id","http://ejournal.st3telkom.ac.id/index.php/infotel/article/view/119","https://scholar.google.com/scholar?cites=11729280211673608763&as_sdt=2005&sciodt=0,5&hl=en",9,"2019-07-15","","","","",,,,,5,1.67,2,3,3
3,"INK Wardana, I Sunaya…","Laptop-Based Robot Sebagai Pramusaji Restoran Dengan Menerapkan Metode Pengolahan Citra dan Kontrol Fuzzy",2016,"… Seminar nasional Teknik …","fortei2016.undip.ac.id","http://fortei2016.undip.ac.id/wp-content/uploads/2016/12/EK-09-Laptop-based-Robot-sebagai-Pramusaji-Restoran-dengan-Menerapkan-Metode-Pengolahan-Citra-dan-Kontrol-Fuzzy-I-Nyoman.pdf","https://scholar.google.com/scholar?cites=12734324230110198001&as_sdt=2005&sciodt=0,5&hl=en",10,"2019-07-15","PDF","","","",,,,,3,1.00,1,3,3
