Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
44,"A Hendini","Pemodelan Uml Sistem Informasi Monitoring Penjualan Dan Stok Barang (Studi Kasus: Distro Zhezha Pontianak)",2016,"Jurnal Khatulistiwa Informatika","ejournal.bsi.ac.id","http://ejournal.bsi.ac.id/ejurnal/index.php/khatulistiwa/article/view/1262","https://scholar.google.com/scholar?cites=1321799042121228411&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-03-25","","","","",,,,,44,14.67,44,1,3
23,"JSP Tyoso","Sistem Informasi Manajemen",2016,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=0sKIDwAAQBAJ&oi=fnd&pg=PP7&dq=%22sistem+informasi%22&ots=GdxSDeYvKu&sig=kRLS9rtBR_v1eO5LrVtMcYfEkFU","https://scholar.google.com/scholar?cites=10416842555471950492&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-03-25","BOOK","","","",,,,,23,7.67,23,1,3
31,"M Muslihudin","Analisis Dan Perancangan Sistem Informasi Menggunakan Model Terstruktur Dan UML",2016,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=2SU3DgAAQBAJ&oi=fnd&pg=PR3&dq=%22sistem+informasi%22&ots=T-oY5uXZQX&sig=9FHpR04QZ7ZmB-R93w-_ZQLTNPI","https://scholar.google.com/scholar?cites=16691724597700367371&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-03-25","BOOK","","","",,,,,31,10.33,31,1,3
18,"R Susanto, AD Andriana","Perbandingan Model Waterfall Dan Prototyping Untuk Pengembangan Sistem Informasi",2016,"Majalah Ilmiah UNIKOM","search.unikom.ac.id","http://search.unikom.ac.id/index.php/jurnal-unikom/article/view/174","https://scholar.google.com/scholar?cites=5446906596653925942&as_sdt=2005&sciodt=0,5&hl=en",4,"2019-03-25","","","","",,,,,18,6.00,9,2,3
18,"N Dengen, DM Khairina","Sistem Informasi Akademik Berbasis Web SMP Negeri 4 Samarinda",2016,"Informatika Mulawarman: Jurnal …","e-journals.unmul.ac.id","http://e-journals.unmul.ac.id/index.php/JIM/article/view/38","https://scholar.google.com/scholar?cites=14407599195953471523&as_sdt=2005&sciodt=0,5&hl=en",5,"2019-03-25","","","","",,,,,18,6.00,9,2,3
22,"D Mahdiana","Analisa Dan Rancangan Sistem Informasi Pengadaan Barang Dengan Metodologi Berorientasi Obyek: Studi Kasus PT. Liga Indonesia",2016,"Telematika MKOM","journal.budiluhur.ac.id","https://journal.budiluhur.ac.id/index.php/telematika/article/view/192","https://scholar.google.com/scholar?cites=6523931717721987843&as_sdt=2005&sciodt=0,5&hl=en",6,"2019-03-25","","","","",,,,,22,7.33,22,1,3
14,"A Homaidi","Sistem Informasi Akademik AMIK Ibrahimy Berbasis Web",2016,"Jurnal Ilmiah Informatika","ejournal.amiki.ac.id","http://www.ejournal.amiki.ac.id/index.php/JIMI/article/view/5","https://scholar.google.com/scholar?cites=9014892139668488137&as_sdt=2005&sciodt=0,5&hl=en",7,"2019-03-25","","","","",,,,,14,4.67,14,1,3
18,"H Supriyono, NA Saputro, RA Pradessya","Rancang Bangun Sistem Informasi Manajemen Presensi Berbasis SMS Gateway (Studi Kasus: SMP Muhammadiyah 1 Kartasura)",2016,"","publikasiilmiah.ums.ac.id","https://publikasiilmiah.ums.ac.id/xmlui/handle/11617/6708","https://scholar.google.com/scholar?cites=14080003261172242906&as_sdt=2005&sciodt=0,5&hl=en",8,"2019-03-25","","","","",,,,,18,6.00,6,3,3
14,"JSSN Mandiri","Sistem Informasi Pelayanan Puskesmas Berbasis Web",2016,"IJSE-Indonesian Journal on Software Engineering","ejournal.bsi.ac.id","http://ejournal.bsi.ac.id/ejurnal/index.php/ijse/article/view/665","https://scholar.google.com/scholar?cites=6926469129473962859&as_sdt=2005&sciodt=0,5&hl=en",9,"2019-03-25","","","","",,,,,14,4.67,14,1,3
18,"NMS Rukmiyati, IK Budiartha","Pengaruh Kualitas Sistem Informasi, Kualitas Informasi dan Perceived Usefulness pada Kepuasan Pengguna Akhir Software Akuntansi (Studi Empiris pada Hotel …",2016,"E-Jurnal Ekonomi dan Bisnis …","ojs.unud.ac.id","https://ojs.unud.ac.id/index.php/EEB/article/view/17245","https://scholar.google.com/scholar?cites=9045662287641209769&as_sdt=2005&sciodt=0,5&hl=en",10,"2019-03-25","","","","",,,,,18,6.00,9,2,3
15,"JF Andry","Audit Sistem Informasi Sumber Daya Manusia Pada Training Center Di Jakarta Menggunakan Framework Cobit 4.1",2016,"Jurnal Ilmiah FIFO","publikasi.mercubuana.ac.id","http://publikasi.mercubuana.ac.id/files/journals/19/articles/1205/submission/copyedit/1205-2706-1-CE.pdf","https://scholar.google.com/scholar?cites=13911206550846472994&as_sdt=2005&sciodt=0,5&hl=en",11,"2019-03-25","PDF","","","",,,,,15,5.00,15,1,3
12,"L Lasminiasih, A Akbar, M Andriansyah…","Perancangan Sistem Informasi Kredit Mikro Mahasiswa Berbasis Web",2016,"Sriwijaya Journal of …","neliti.com","https://www.neliti.com/publications/131627/perancangan-sistem-informasi-kredit-mikro-mahasiswa-berbasis-web","https://scholar.google.com/scholar?cites=3942748824486570060&as_sdt=2005&sciodt=0,5&hl=en",12,"2019-03-25","","","","",,,,,12,4.00,3,4,3
12,"WP Abhimantra, IK Suryanawa","Analisis Faktor-faktor yang memengaruhi Kinerja Sistem Informasi Akuntansi",2016,"E-Jurnal Akuntansi","ojs.unud.ac.id","https://ojs.unud.ac.id/index.php/Akuntansi/article/view/15022/0","https://scholar.google.com/scholar?cites=9346280468912645271&as_sdt=2005&sciodt=0,5&hl=en",13,"2019-03-25","","","","",,,,,12,4.00,6,2,3
15,"W Handiwidjojo, L Ernawati","Pengukuran Tingkat Ketergunaan (Usability) Sistem Informasi Keuangan Studi Kasus: Duta Wacana Internal Transaction (Duwit)",2016,"… Informatika dan Sistem Informasi","journal.uc.ac.id","https://journal.uc.ac.id/index.php/JUISI/article/view/115","https://scholar.google.com/scholar?cites=6420412016048020924&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-03-25","","","","",,,,,15,5.00,8,2,3
11,"D Puspitasari","Rancang bangun sistem informasi koperasi simpan pinjam karyawan berbasis web",2016,"Jurnal Pilar Nusa Mandiri","ejournal.nusamandiri.ac.id","http://ejournal.nusamandiri.ac.id/ejurnal/index.php/pilar/article/view/152","https://scholar.google.com/scholar?cites=14261314345466941365&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-03-25","","","","",,,,,11,3.67,11,1,3
13,"F Sayekti, P Putarta","Penerapan Technology Acceptance Model (TAM) Dalam Pengujian Model Penerimaan Sistem Informasi Keuangan Daerah",2016,"… Manajemen Teori dan Terapan| Journal of …","e-journal.unair.ac.id","https://e-journal.unair.ac.id/JMTT/article/view/3075","https://scholar.google.com/scholar?cites=7004299586802485591&as_sdt=2005&sciodt=0,5&hl=en",16,"2019-03-25","","","","",,,,,13,4.33,7,2,3
14,"M Maryuliana, IMI Subroto…","Sistem informasi angket pengukuran skala kebutuhan materi pembelajaran tambahan sebagai pendukung pengambilan keputusan di sekolah menengah atas …",2016,"… Elektro dan Informatika","jurnal.unissula.ac.id","http://jurnal.unissula.ac.id/index.php/EI/article/view/829","https://scholar.google.com/scholar?cites=10012813831374843161&as_sdt=2005&sciodt=0,5&hl=en",17,"2019-03-25","","","","",,,,,14,4.67,5,3,3
11,"NR Dyah, ER Arsandy","Sistem informasi geografis tempat praktek dokter spesialis di Provinsi DI Yogyakarta Berbasis Web",2016,"Informatika Mulawarman: Jurnal …","e-journals.unmul.ac.id","http://e-journals.unmul.ac.id/index.php/JIM/article/view/22","https://scholar.google.com/scholar?cites=5445532823549748201&as_sdt=2005&sciodt=0,5&hl=en",18,"2019-03-25","","","","",,,,,11,3.67,6,2,3
12,"A Firman, HF Wowor, X Najoan","Sistem Informasi Perpustakaan Online Berbasis Web",2016,"Jurnal Teknik Elektro dan …","ejournal.unsrat.ac.id","https://ejournal.unsrat.ac.id/index.php/elekdankom/article/view/11657","https://scholar.google.com/scholar?cites=15667114743611114162&as_sdt=2005&sciodt=0,5&hl=en",19,"2019-03-25","","","","",,,,,12,4.00,4,3,3
10,"M Susanti","Perancangan Sistem Informasi akademik berbasis web Pada SMK Pasar Minggu Jakarta",2016,"Jurnal informatika","ejournal.bsi.ac.id","http://ejournal.bsi.ac.id/ejurnal/index.php/ji/article/view/304","https://scholar.google.com/scholar?cites=9551881955211325890&as_sdt=2005&sciodt=0,5&hl=en",20,"2019-03-25","","","","",,,,,10,3.33,10,1,3
8,"D Abdullah, CI Erliana","Sistem Informasi Pendataan Kendaraan Hilang Berbasis Web Pada Polres Binjai",2016,"Prosiding SNIKOM","repository.unimal.ac.id","http://repository.unimal.ac.id/id/eprint/1872","https://scholar.google.com/scholar?cites=7035820215558728626&as_sdt=2005&sciodt=0,5&hl=en",21,"2019-03-25","","","","",,,,,8,2.67,4,2,3
10,"KB Utomo","Perancangan Sistem Informasi Bank Darah Hidup Untuk Mempercepat Penyediaan Calon Penyumbang Darah Dengan Ketepatan Yang Tinggi (Studi di PMI Kota …",2016,"Informatika Mulawarman: Jurnal Ilmiah Ilmu …","e-journals.unmul.ac.id","http://e-journals.unmul.ac.id/index.php/JIM/article/view/59","https://scholar.google.com/scholar?cites=12031699599434614874&as_sdt=2005&sciodt=0,5&hl=en",22,"2019-03-25","","","","",,,,,10,3.33,10,1,3
7,"EA Hayat, E Retnadi, E Gunadhi","Perancangan Sistem Informasi Kependudukan Berbasis Web",2016,"Jurnal Algoritma","jurnal.sttgarut.ac.id","http://jurnal.sttgarut.ac.id/index.php/algoritma/article/view/290","https://scholar.google.com/scholar?cites=5877504383405748999&as_sdt=2005&sciodt=0,5&hl=en",23,"2019-03-25","","","","",,,,,7,2.33,2,3,3
7,"S Rahayu, IN Piarsa, PW Buana","Sistem Informasi Geografis Pemetaan Daerah Aliran Sungai Berbasis Web",2016,"Lontar Komputer: Jurnal Ilmiah …","ojs.unud.ac.id","https://ojs.unud.ac.id/index.php/lontar/article/view/21311/0","https://scholar.google.com/scholar?cites=6470985251748180106&as_sdt=2005&sciodt=0,5&hl=en",24,"2019-03-25","","","","",,,,,7,2.33,2,3,3
7,"A Herliana, PM Rasyid","Sistem Informasi monitoring pengembangan software pada tahap development berbasis web",2016,"Jurnal Informatika","ejournal.bsi.ac.id","http://ejournal.bsi.ac.id/ejurnal/index.php/ji/article/view/281","https://scholar.google.com/scholar?cites=11516003582114675532&as_sdt=2005&sciodt=0,5&hl=en",25,"2019-03-25","","","","",,,,,7,2.33,4,2,3
7,"A Budiman, A Mulyani","Rancang Bangun Aplikasi Sistem Informasi Persedian Barang Di TB. Indah Jaya Berbasis Desktop",2016,"Jurnal Algoritma","jurnal.sttgarut.ac.id","http://jurnal.sttgarut.ac.id/index.php/algoritma/article/view/379","https://scholar.google.com/scholar?cites=1743101300697985801&as_sdt=2005&sciodt=0,5&hl=en",26,"2019-03-25","","","","",,,,,7,2.33,4,2,3
8,"A Susanto, A Kharis, T Khotimah","Sistem Informasi Geografis Pemetaan Lahan Pertanian dan Komoditi Hasil Panen Kabupaten Kudus",2016,"Jurnal Informatika Ahmad …","researchgate.net","https://www.researchgate.net/profile/Tutik_Khotimah/publication/318733072_SISTEM_INFORMASI_GEOGRAFIS_PEMETAAN_LAHAN_PERTANIAN_DAN_KOMODITI_HASIL_PANEN_KABUPATEN_KUDUS/links/59cca88b0f7e9bbfdc400201/SISTEM-INFORMASI-GEOGRAFIS-PEMETAAN-LAHAN-PERTANIAN-DAN-KOMODITI-HASIL-PANEN-KABUPATEN-KUDUS.pdf","https://scholar.google.com/scholar?cites=13605017865710690615&as_sdt=2005&sciodt=0,5&hl=en",27,"2019-03-25","PDF","","","",,,,,8,2.67,3,3,3
7,"A Mualo, AD Budiyanto","Perencanaan strategis sistem informasi menggunakan TOGAF (studi kasus: universitas satria makassar)",2016,"Seminar Riset Teknologi Informasi (SRITI …","sriti.akakom.ac.id","https://sriti.akakom.ac.id/prosiding/PERENCANAAN%20STRATEGIS%20SISTEM%20INFORMASI%20MENGGUNAKAN%20TOGAF%20(STUDI%20KASUS%20UNIVERSITAS%20SATRIA%20MAKASSAR.pdf","https://scholar.google.com/scholar?cites=18427234745972291742&as_sdt=2005&sciodt=0,5&hl=en",28,"2019-03-25","PDF","","","",,,,,7,2.33,4,2,3
62,"H Nurdiyanto, H Meilia","Sistem Pendukung Keputusan Penentuan Prioritas Pengembangan Industri Kecil dan Menengah di Lampung Tengah Menggunakan Analitical Hierarchy Process …",2016,"SEMNASTEKNOMEDIA ONLINE","ojs.amikom.ac.id","http://ojs.amikom.ac.id/index.php/semnasteknomedia/article/view/1163","https://scholar.google.com/scholar?cites=7935843893013156888&as_sdt=2005&sciodt=0,5&hl=en",29,"2019-03-25","","","","",,,,,62,20.67,31,2,3
6,"H Dhika, L Lukman, A Fitriansyah","Perancangan Sistem Informasi Jasa Pengiriman Barang Berbasis Web",2016,"Simetris: Jurnal Teknik Mesin …","jurnal.umk.ac.id","https://jurnal.umk.ac.id/index.php/simet/article/view/487","https://scholar.google.com/scholar?cites=5460910684527565909&as_sdt=2005&sciodt=0,5&hl=en",30,"2019-03-25","","","","",,,,,6,2.00,2,3,3
7,"J Christian","Model data warehouse dengan service oriented architecture untuk menunjang sistem informasi eksekutif",2016,"Telematika MKOM","journal.budiluhur.ac.id","https://journal.budiluhur.ac.id/index.php/telematika/article/view/167","https://scholar.google.com/scholar?cites=10288157583686733494&as_sdt=2005&sciodt=0,5&hl=en",31,"2019-03-25","","","","",,,,,7,2.33,7,1,3
8,"A Nurochman","Manajemen Risiko Sistem Informasi Perpustakaan (Studi Kasus di Perpustakaan Universitas Gadjah Mada)",2016,"Berkala Ilmu Perpustakaan dan Informasi","journal.ugm.ac.id","https://journal.ugm.ac.id/bip/article/view/8830","https://scholar.google.com/scholar?cites=3603470237673418249&as_sdt=2005&sciodt=0,5&hl=en",32,"2019-03-25","","","","",,,,,8,2.67,8,1,3
8,"BO Lubis","Penerapan Global Extreme Programming Pada Sistem Informasi Workshop, Seminar Dan Pelatihan Di Lembaga Edukasi",2016,"Jurnal Informatika","ejournal.bsi.ac.id","http://ejournal.bsi.ac.id/ejurnal/index.php/ji/article/view/1055","https://scholar.google.com/scholar?cites=4122734460069993298&as_sdt=2005&sciodt=0,5&hl=en",33,"2019-03-25","","","","",,,,,8,2.67,8,1,3
9,"R Hermawan, A Hidayat","Sistem Informasi Penjadwalan Kegiatan Belajar Mengajar Berbasis Web (Studi Kasus: Yayasan Ganesha Operation Semarang)",2016,"EVOLUSI-Jurnal Sains dan Manajemen","ejournal.bsi.ac.id","http://ejournal.bsi.ac.id/ejurnal/index.php/evolusi/article/view/648","https://scholar.google.com/scholar?cites=2986419509313951723&as_sdt=2005&sciodt=0,5&hl=en",34,"2019-03-25","","","","",,,,,9,3.00,5,2,3
