Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
7,"Y Andriani, H Silitonga, A Wanto","Analisis Jaringan Syaraf Tiruan untuk prediksi volume ekspor dan impor migas di Indonesia",2018,"Register: Jurnal Ilmiah …","ingentaconnect.com","https://www.ingentaconnect.com/content/doaj/25030477/2018/00000004/00000001/art00005","https://scholar.google.com/scholar?cites=13133373501211460560&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-03-28","","","","",,,,,7,7.00,2,3,1
10,"E Hartato, D Sitorus, A Wanto","Analisis Jaringan Saraf Tiruan Untuk Prediksi Luas Panen Biofarmaka di Indonesia",2018,"semanTIK","ojs.uho.ac.id","http://ojs.uho.ac.id/index.php/semantik/article/view/4201","https://scholar.google.com/scholar?cites=4053944116040779243&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-03-28","","","","",,,,,10,10.00,3,3,1
9,"RE Pranata, SP Sinaga, A Wanto","Estimasi Wisatawan Mancanegara Yang Datang ke Sumatera Utara Menggunakan Jaringan Saraf",2018,"semanTIK","ojs.uho.ac.id","http://ojs.uho.ac.id/index.php/semantik/article/view/4244","https://scholar.google.com/scholar?cites=3121101226720734205&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-03-28","","","","",,,,,9,9.00,3,3,1
2,"AS Rachman, I Cholissodin…","Peramalan Produksi Gula Menggunakan Metode Jaringan Syaraf Tiruan Backpropagation pada PG Candi Baru Sidoarjo",2018,"… Teknologi Informasi dan …","researchgate.net","https://www.researchgate.net/profile/Mochammad_Fauzi/publication/322963136_Peramalan_Produksi_Gula_Menggunakan_Metode_Jaringan_Syaraf_Tiruan_Backpropagation_Pada_PG_Candi_Baru_Sidoarjo/links/5a7a049d0f7e9b41dbd60f61/Peramalan-Produksi-Gula-Menggunakan-Metode-Jaringan-Syaraf-Tiruan-Backpropagation-Pada-PG-Candi-Baru-Sidoarjo.pdf","https://scholar.google.com/scholar?cites=3032929479131450137&as_sdt=2005&sciodt=0,5&hl=en",4,"2019-03-28","PDF","","","",,,,,2,2.00,1,3,1
2,"R Ginting, T Tulus, EB Nababan","Analisis Penggunaan Algoritma Kohonen Pada Jaringan Syaraf Tiruan Backpropagation Dalam Pengenalan Pola Penyakit Paru",2018,"Jurnal Teknovasi: Jurnal Teknik …","ejurnal.plm.ac.id","http://ejurnal.plm.ac.id/index.php/Teknovasi/article/view/35","https://scholar.google.com/scholar?cites=6822399008963117845&as_sdt=2005&sciodt=0,5&hl=en",5,"2019-03-28","","","","",,,,,2,2.00,1,3,1
2,"MR Lubis","Analisis jaringan saraf tiruan backpropgation untuk peningkatan akurasi prediksi hasil pertandingan sepakbola",2018,"TECHSI-Jurnal Teknik Informatika","ojs.unimal.ac.id","http://ojs.unimal.ac.id/index.php/techsi/article/view/560","https://scholar.google.com/scholar?cites=4974679754833952051&as_sdt=2005&sciodt=0,5&hl=en",6,"2019-03-28","","","","",,,,,2,2.00,2,1,1
1,"Y Aprianto, N Nurhasanah, I Sanubary","Prediksi Kadar Particulate Matter (PM10) untuk Pemantauan Kualitas Udara Menggunakan Jaringan Syaraf Tiruan Studi Kasus Kota Pontianak",2018,"POSITRON","jurnal.untan.ac.id","http://jurnal.untan.ac.id/index.php/jpositron/article/view/25470","https://scholar.google.com/scholar?cites=7294225924898248101&as_sdt=2005&sciodt=0,5&hl=en",7,"2019-03-28","","","","",,,,,1,1.00,0,3,1
1,"SA Nurdela","Aplikasi Peramalan Jumlah Kelahiran Dengan Metode Jaringan Syaraf Tiruan",2018,"The Indonesian Journal of Public Health","e-journal.unair.ac.id","https://e-journal.unair.ac.id/IJPH/article/view/7595","https://scholar.google.com/scholar?cites=3611087402652612786&as_sdt=2005&sciodt=0,5&hl=en",8,"2019-03-28","","","","",,,,,1,1.00,1,1,1
1,"M Marjiyono, B Soedijono, ET Luthfi","Penggunaan Jaringan Syaraf Tiruan Untuk Meramalkan Permintaan Pada Perusahaan Retail",2018,"SEMNASTEKNOMEDIA …","ojs.amikom.ac.id","http://ojs.amikom.ac.id/index.php/semnasteknomedia/article/view/1999","https://scholar.google.com/scholar?cites=8571163227603566431&as_sdt=2005&sciodt=0,5&hl=en",9,"2019-03-28","","","","",,,,,1,1.00,0,3,1
1,"A Jading, N Bintoro, L Sutiarso…","Pemodelan Jaringan Syaraf Tiruan untuk Memprediksi Color Difference Tepung Sagu pada Pneumatic Conveying Recirculated Dryer",2018,"Jurnal Keteknikan …","jai.ipb.ac.id","http://jai.ipb.ac.id/index.php/jtep/article/view/23457","https://scholar.google.com/scholar?cites=4338048406823473423&as_sdt=2005&sciodt=0,5&hl=en",10,"2019-03-28","","","","",,,,,1,1.00,0,4,1
1,"MI Diputra, C Dewi, RC Wihandika","Prediksi Tingkat Keuntungan Usaha Peternakan Itik Alabio Petelur menggunakan Jaringan Syaraf Tiruan Backpropagation (Kasus di Kabupaten Hulu Sungai …",2018,"… Teknologi Informasi dan Ilmu …","researchgate.net","https://www.researchgate.net/profile/Randy_Wihandika/publication/323392678_Prediksi_Tingkat_Keuntungan_Usaha_Peternakan_Itik_Alabio_Petelur_menggunakan_Jaringan_Syaraf_Tiruan_Backpropagation_Kasus_di_Kabupaten_Hulu_Sungai_Utara_Kalimantan_Selatan/links/5a9389d3a6fdccecff05a60d/Prediksi-Tingkat-Keuntungan-Usaha-Peternakan-Itik-Alabio-Petelur-menggunakan-Jaringan-Syaraf-Tiruan-Backpropagation-Kasus-di-Kabupaten-Hulu-Sungai-Utara-Kalimantan-Selatan.pdf","https://scholar.google.com/scholar?cites=11631126437178218165&as_sdt=2005&sciodt=0,5&hl=en",11,"2019-03-28","PDF","","","",,,,,1,1.00,0,3,1
6,"IS Purba, A Wanto","Prediksi Jumlah Nilai Impor Sumatera Utara Menurut Negara Asal Menggunakan Algoritma Backpropagation",2018,"Techno. Com","publikasi.dinus.ac.id","http://publikasi.dinus.ac.id/index.php/technoc/article/view/1769","https://scholar.google.com/scholar?cites=9105336615259236210&as_sdt=2005&sciodt=0,5&hl=en",12,"2019-03-28","","","","",,,,,6,6.00,3,2,1
1,"M Arifin, K Asfani, AN Handayani","Aplikasi Jaringan Saraf Tiruan Metode Perceptron Pada Pengenalan Pola Notasi",2018,"Simetris: Jurnal Teknik Mesin …","jurnal.umk.ac.id","https://jurnal.umk.ac.id/index.php/simet/article/view/1737","https://scholar.google.com/scholar?cites=16876526494766769131&as_sdt=2005&sciodt=0,5&hl=en",13,"2019-03-28","","","","",,,,,1,1.00,0,3,1
3,"BK Sihotang, A Wanto","Analisis JST Dalam Memprediksi Jumlah Tamu Pada Hotel NonBintang",2018,"Techno. Com","publikasi.dinus.ac.id","http://publikasi.dinus.ac.id/index.php/technoc/article/view/1762","https://scholar.google.com/scholar?cites=1175192954766523250&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-03-28","","","","",,,,,3,3.00,2,2,1
1,"A Syukur, L Julianti","Simulasi Pemanfaatan Dynamic Routing Protocol EIGRP Pada Router di Jaringan Universitasi Islam Riau Beserta Autentikasinya",2018,"Jurnal Teknologi Informasi dan Ilmu Komputer","jtiik.ub.ac.id","http://jtiik.ub.ac.id/index.php/jtiik/article/view/535","https://scholar.google.com/scholar?cites=368417430212371778&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-03-28","","","","",,,,,1,1.00,1,2,1
2,"D Rahayu, RC Wihandika…","Implementasi Metode Backpropagation untuk Klasifikasi Kenaikan Harga Minyak Kelapa Sawit",2018,"… Teknologi Informasi dan …","researchgate.net","https://www.researchgate.net/profile/Rizal_Perdana/publication/323365853_Implementasi_Metode_Backpropagation_Untuk_Klasifikasi_Kenaikan_Harga_Minyak_Kelapa_Sawit/links/5a9024c845851535bcd5226d/Implementasi-Metode-Backpropagation-Untuk-Klasifikasi-Kenaikan-Harga-Minyak-Kelapa-Sawit.pdf","https://scholar.google.com/scholar?cites=4814874806157071766&as_sdt=2005&sciodt=0,5&hl=en",16,"2019-03-28","PDF","","","",,,,,2,2.00,1,3,1
3,"JR Saragih, MBS Saragih…","Analisis Algoritma Backpropagation Dalam Prediksi Nilai Ekspor (Juta USD)",2018,"… Teknologi dan Kejuruan","ejournal.undiksha.ac.id","https://ejournal.undiksha.ac.id/index.php/JPTK/article/view/14362","https://scholar.google.com/scholar?cites=899480834742359573&as_sdt=2005&sciodt=0,5&hl=en",17,"2019-03-28","","","","",,,,,3,3.00,1,3,1
3,"CK Dewa, AL Fadhilah, A Afiahayati","Convolutional neural networks for handwritten Javanese character recognition",2018,"IJCCS (Indonesian Journal …","journal.ugm.ac.id","https://journal.ugm.ac.id/ijccs/article/view/31144","https://scholar.google.com/scholar?cites=1179821524944050434&as_sdt=2005&sciodt=0,5&hl=en",18,"2019-03-28","","","","",,,,,3,3.00,1,3,1
1,"I Oktavianingsih, M Muliadi, A Apriansyah","Estimasi Curah Hujan di Kota Pontianak Menggunakan Metode Propagasi Balik Berdasarkan Parameter Cuaca dan Suhu Permukaan Laut",2018,"PRISMA FISIKA","jurnal.untan.ac.id","http://jurnal.untan.ac.id/index.php/jpfu/article/view/25247","https://scholar.google.com/scholar?cites=14483489051843629050&as_sdt=2005&sciodt=0,5&hl=en",19,"2019-03-28","","","","",,,,,1,1.00,0,3,1
2,"VN Sari, Y Yupianti, D Maharani","Penerapan Metode K-Means Clustering Dalam Menentukan Predikat Kelulusan Mahasiswa Untuk Menganalisa Kualitas Lulusan",2018,"JURTEKSI","jurnal.stmikroyal.ac.id","https://jurnal.stmikroyal.ac.id/index.php/jurteksi/article/view/53","https://scholar.google.com/scholar?cites=7058759273923937103&as_sdt=2005&sciodt=0,5&hl=en",20,"2019-03-28","","","","",,,,,2,2.00,1,3,1
1,"S Herawati, M Latif","Peramalan Harga Minyak Mentah menggunakan Ensemble Empirical Mode Decomposition dan Resilient Backpropagation",2018,"Prosiding SENTRA (Seminar …","research-report.umm.ac.id","http://research-report.umm.ac.id/index.php/sentra/article/view/2102","https://scholar.google.com/scholar?cites=13616641429314578842&as_sdt=2005&sciodt=0,5&hl=en",21,"2019-03-28","","","","",,,,,1,1.00,1,2,1
1,"MY Yunus, M Marhatang, A Pangkung…","RANCANG BANGUN SMART METER BERBASIS NILM UNTUK MEMANTAU PEMAKAIAN ENERGI LISTRIK PADA SEKTOR RUMAH TANGGA …",2018,"Seminar Nasional …","jurnal.poliupg.ac.id","http://jurnal.poliupg.ac.id/index.php/snp/article/viewFile/727/616","https://scholar.google.com/scholar?cites=8952909037336750685&as_sdt=2005&sciodt=0,5&hl=en",22,"2019-03-28","PDF","","","",,,,,1,1.00,0,4,1
2,"M Yanto, EPW Mandala…","Peramalan Penjualan Pada Toko Retail Menggunakan Algoritma Backpropagation Neural Network",2018,"MEDIA …","ejurnal.stmik-budidarma.ac.id","https://ejurnal.stmik-budidarma.ac.id/index.php/mib/article/view/811","https://scholar.google.com/scholar?cites=15501561379052429808&as_sdt=2005&sciodt=0,5&hl=en",23,"2019-03-28","","","","",,,,,2,2.00,1,3,1
1,"L Sucipto, S Syaharuddin","Konstruksi Forecasting System Multi-Model untuk pemodelan matematika pada peramalan Indeks Pembangunan Manusia Provinsi Nusa Tenggara Barat",2018,"Register: Jurnal Ilmiah Teknologi …","journal.unipdu.ac.id","http://journal.unipdu.ac.id/index.php/register/article/view/1263","https://scholar.google.com/scholar?cites=13442832091353614307&as_sdt=2005&sciodt=0,5&hl=en",24,"2019-03-28","","","","",,,,,1,1.00,1,2,1
1,"G Novandra, MZ Naf'an…","Perancangan aplikasi android identifikasi tanda tangan menggunakan multi layer perceptron",2018,"JIPI (Jurnal …","jurnal.stkippgritulungagung.ac.id","http://www.jurnal.stkippgritulungagung.ac.id/index.php/jipi/article/download/660/332","https://scholar.google.com/scholar?cites=12470169920469930268&as_sdt=2005&sciodt=0,5&hl=en",25,"2019-03-28","PDF","","","",,,,,1,1.00,0,3,1
24,"DS Maylawati, W Darmalaksana…","Systematic Design of Expert System Using Unified Modelling Language",2018,"IOP Conference Series …","iopscience.iop.org","https://iopscience.iop.org/article/10.1088/1757-899X/288/1/012047/meta","https://scholar.google.com/scholar?cites=1121520858651459353&as_sdt=2005&sciodt=0,5&hl=en",26,"2019-03-28","","","","",,,,,24,24.00,8,3,1
1,"R Rosnelly","Pengenalan Pola Angka Tulisan Tangan Pada Cek Menggunakan Neocognitron",2018,"CSRID (Computer Science Research and Its …","","","https://scholar.google.com/scholar?cites=4566258406474614061&as_sdt=2005&sciodt=0,5&hl=en",27,"2019-03-28","CITATION","","","",,,,,1,1.00,1,1,1
1,"ZFM Ramli, I Wijayanto…","Deteksi Kondisi Konsentrasi Berdasarkan Sinyal Eeg Dengan Stimulasi Menghafal Al-quran",2018,"eProceedings …","… .telkomuniversity.ac.id","https://libraryeproceeding.telkomuniversity.ac.id/index.php/engineering/article/view/7693","https://scholar.google.com/scholar?cites=10622595951647453369&as_sdt=2005&sciodt=0,5&hl=en",28,"2019-03-28","","","","",,,,,1,1.00,0,3,1
